,htsc_code,time,frequency,open,close,high,low,volume,value
40,000016.SH,2024-07-09 15:59:33,daily,2365.931,2389.3843,2396.1764,2352.7669,3750447700.0,62567227694.0
41,000016.SH,2024-07-10 15:59:33,daily,2378.8044,2381.831,2392.8765,2378.5381,3484625800.0,56473784148.0
42,000016.SH,2024-07-11 15:59:33,daily,2387.6651,2396.407,2400.229,2378.1532,3829559200.0,63413455035.0
43,000016.SH,2024-07-12 15:59:32,daily,2397.7292,2412.6181,2414.7622,2396.5289,3815709800.0,59812238497.0
44,000016.SH,2024-07-15 15:59:33,daily,2405.9183,2420.5214,2424.4116,2405.5231,3451860700.0,50347384020.0
45,000016.SH,2024-07-16 15:59:33,daily,2412.2553,2424.755,2426.5861,2406.2455,3568839500.0,55901176129.0
46,000016.SH,2024-07-17 15:59:33,daily,2422.8828,2432.8325,2439.317,2419.9803,3775036900.0,64968550436.0
47,000016.SH,2024-07-18 15:59:33,daily,2426.3399,2444.5086,2446.7682,2421.4873,3481404600.0,60995584684.0
48,000016.SH,2024-07-19 15:59:33,daily,2429.8049,2456.79,2462.7419,2417.464,4131548000.0,71695222791.0
49,000016.SH,2024-07-22 15:59:33,daily,2454.2441,2432.5496,2454.4998,2416.2001,4182968300.0,69492700443.0
50,000016.SH,2024-07-23 15:59:32,daily,2429.0864,2396.6727,2431.2677,2396.6727,4134068100.0,63854263895.0
51,000300.SH,2024-07-01 15:59:51,daily,3458.2636,3478.1827,3479.9548,3443.8086,12182977000.0,188018227774.8
52,000300.SH,2024-07-02 15:59:51,daily,3472.4527,3471.7857,3488.3189,3464.5237,12165012100.0,186104752421.9
53,000300.SH,2024-07-03 15:59:51,daily,3471.5556,3463.4141,3478.7047,3454.9942,10385710800.0,163035359363.1
54,000300.SH,2024-07-04 15:59:51,daily,3468.2958,3445.8128,3483.3098,3444.928,10442990900.0,159477153569.5
55,000300.SH,2024-07-05 15:59:51,daily,3443.3588,3431.0605,3451.0386,3399.6693,11660965900.0,181416567402.8
56,000300.SH,2024-07-08 15:59:51,daily,3420.8033,3401.7604,3428.0418,3395.9123,11552821800.0,177559765827.5
57,000300.SH,2024-07-09 15:59:51,daily,3396.8044,3439.8111,3448.9279,3384.8086,13162944300.0,215048837819.8
58,000300.SH,2024-07-10 15:59:51,daily,3425.8818,3428.9657,3447.505,3423.6483,12720345600.0,198149476849.1
59,000300.SH,2024-07-11 15:59:51,daily,3451.0442,3468.169,3473.9837,3438.118,14589246600.0,237551298481.6
60,000300.SH,2024-07-12 15:59:50,daily,3459.9564,3472.4014,3479.0958,3457.3633,13087458900.0,205055553856.4
61,000300.SH,2024-07-15 15:59:51,daily,3462.6113,3476.2467,3481.4613,3460.7915,11851708300.0,171584915379.5
62,000300.SH,2024-07-16 15:59:51,daily,3466.8523,3498.2827,3500.2943,3464.3655,12065901700.0,200456285077.5
63,000300.SH,2024-07-17 15:59:51,daily,3494.209,3501.5836,3514.4753,3486.2229,13180206200.0,222830802528.4
64,000300.SH,2024-07-18 15:59:51,daily,3483.2975,3520.931,3522.7995,3475.7236,12376819900.0,215783795702.6
65,000300.SH,2024-07-19 15:59:51,daily,3500.8052,3539.0156,3545.3383,3493.0734,13244797500.0,228065104129.0
66,000300.SH,2024-07-22 15:59:51,daily,3538.4012,3514.9249,3540.1874,3494.0143,13212633700.0,217457320403.9
67,000300.SH,2024-07-23 15:59:50,daily,3509.7887,3439.8779,3509.7887,3439.8779,12889766000.0,202857560168.7
68,000849.SH,2024-07-01 15:59:57,daily,7043.5779,7088.0311,7098.222,6970.915,995371800.0,12471620829.0
69,000849.SH,2024-07-02 15:59:57,daily,7068.814,7086.7305,7189.7988,7062.6979,902463000.0,11892205778.0
70,000849.SH,2024-07-03 15:59:57,daily,7082.7238,7103.8642,7126.3269,7047.4337,786896800.0,9582272434.0
71,000849.SH,2024-07-04 15:59:57,daily,7101.3221,7013.3085,7129.6484,7013.3085,808340700.0,9852318406.0
72,000849.SH,2024-07-05 15:59:57,daily,7014.063,6949.2041,7037.0336,6934.292,866381300.0,11286736917.0
73,000849.SH,2024-07-08 15:59:57,daily,6917.7935,6836.4064,6950.1435,6819.0524,989465900.0,11475183842.0
74,000849.SH,2024-07-09 15:59:57,daily,6841.7143,6959.8423,6975.8195,6797.5873,1047233600.0,11956734813.0
75,000849.SH,2024-07-10 15:59:57,daily,6911.5962,6997.4715,7053.0538,6909.4764,894252100.0,10850681019.0
76,000849.SH,2024-07-11 15:59:57,daily,7060.7052,7042.3485,7107.7674,7023.8386,1047011000.0,12300095180.0
77,000849.SH,2024-07-12 15:59:56,daily,7029.7324,7064.175,7080.6505,7022.8372,717898000.0,9338610611.0
78,000849.SH,2024-07-15 15:59:57,daily,7048.3069,7070.384,7098.7568,7043.9358,617560400.0,7889298235.0
79,000849.SH,2024-07-16 15:59:57,daily,7041.1513,7045.1701,7060.9006,6995.0663,842208700.0,12380712917.0
80,000849.SH,2024-07-17 15:59:57,daily,7043.088,7157.2903,7179.2636,7042.9516,990697300.0,13858458049.0
81,000849.SH,2024-07-18 15:59:57,daily,7145.8056,7201.3612,7207.8366,7101.0452,986483500.0,12736277710.0
82,000849.SH,2024-07-19 15:59:57,daily,7189.1755,7286.0715,7300.1386,7172.2967,1149155000.0,15564582534.0
83,000849.SH,2024-07-22 15:59:57,daily,7345.0194,7320.4786,7362.2395,7233.4016,1411177200.0,19810563116.0
84,000849.SH,2024-07-23 15:59:56,daily,7290.0556,7179.3102,7303.501,7176.6962,1172906900.0,15688528674.0
85,000905.SH,2024-07-01 15:59:57,daily,4943.7867,5003.1608,5017.6099,4929.0871,9731279300.0,110821074065.9
86,000905.SH,2024-07-02 15:59:57,daily,5000.5757,4949.4771,5002.7424,4934.1169,9620933400.0,105902911013.0
87,000905.SH,2024-07-03 15:59:57,daily,4945.3994,4910.9245,4950.5148,4905.3897,8452833100.0,96121126342.0
88,000905.SH,2024-07-04 15:59:57,daily,4917.4414,4834.4982,4935.6055,4827.342,9100846600.0,98771611006.7
89,000905.SH,2024-07-05 15:59:57,daily,4828.8628,4866.2647,4877.9326,4794.1292,8313327900.0,93724633826.8
90,000905.SH,2024-07-08 15:59:57,daily,4857.0245,4783.6165,4857.2655,4768.5636,9025450000.0,96789200226.5
91,000905.SH,2024-07-09 15:59:57,daily,4775.3131,4876.899,4888.4822,4745.3165,11140196800.0,126704548339.3
92,000905.SH,2024-07-10 15:59:57,daily,4857.483,4844.1624,4891.3725,4836.17,10095318600.0,117244916014.0
93,000905.SH,2024-07-11 15:59:57,daily,4902.8106,4939.7318,4941.7015,4871.172,11527549400.0,133127527342.5
94,000905.SH,2024-07-12 15:59:56,daily,4926.9812,4919.3639,4937.3471,4905.7967,9717510600.0,115594261299.6
95,000905.SH,2024-07-15 15:59:57,daily,4903.5161,4883.8971,4903.5161,4868.743,8682431200.0,102734711417.3
96,000905.SH,2024-07-16 15:59:57,daily,4877.601,4898.3626,4907.8321,4850.4315,8726797800.0,113648284397.5
97,000905.SH,2024-07-17 15:59:57,daily,4893.4137,4856.5794,4900.3599,4853.603,9690954700.0,117932902593.7
98,000905.SH,2024-07-18 15:59:57,daily,4822.1303,4877.6916,4879.6927,4793.4294,9665475000.0,115283847816.1
99,000905.SH,2024-07-19 15:59:57,daily,4853.0422,4872.0532,4900.3787,4842.9297,9329074600.0,111989382468.3
100,000905.SH,2024-07-22 15:59:57,daily,4872.6362,4865.9778,4885.3641,4839.1121,9271045800.0,110307683161.2
