,htsc_code,time,frequency,open,close,high,low,volume,value,open_interest,settle
73,AG2409.SHF,2024-07-11 15:19:08.500,daily,8182.0,8196.0,8220.0,8095.0,32255.0,3950981280.0,24912.0,8166.0
74,AG2409.SHF,2024-07-12 15:16:50.000,daily,8333.0,8097.0,8347.0,8074.0,51073.0,6304861800.0,24730.0,8229.0
75,AG2409.SHF,2024-07-15 15:50:59.500,daily,8021.0,8068.0,8166.0,8021.0,37506.0,4560100875.0,25119.0,8105.0
76,AG2409.SHF,2024-07-16 15:16:02.000,daily,8072.0,8125.0,8150.0,8046.0,31392.0,3815489475.0,25058.0,8102.0
77,AG2409.SHF,2024-07-17 15:15:23.000,daily,8084.0,8097.0,8241.0,8069.0,54808.0,6708552480.0,23884.0,8160.0
78,AG2409.SHF,2024-07-18 15:15:45.500,daily,8117.0,7988.0,8139.0,7893.0,44413.0,5325536865.0,24218.0,7993.0
79,AG2409.SHF,2024-07-19 15:15:47.500,daily,7966.0,7686.0,7966.0,7663.0,56078.0,6564638175.0,26244.0,7804.0
80,AG2409.SHF,2024-07-22 15:16:09.000,daily,7614.0,7612.0,7720.0,7583.0,44154.0,5065623360.0,26623.0,7648.0
81,AG2409.SHF,2024-07-23 15:15:10.500,daily,7570.0,7546.0,7707.0,7530.0,51429.0,5867643690.0,28513.0,7606.0
82,CU2409.SHF,2024-05-06 15:29:24.500,daily,80580.0,81430.0,81490.0,80280.0,10224.0,4144353700.0,49719.0,81070.0
83,CU2409.SHF,2024-05-07 15:16:26.000,daily,81660.0,80700.0,81830.0,80680.0,15641.0,6358810900.0,50406.0,81300.0
84,CU2409.SHF,2024-05-08 15:15:08.000,daily,80730.0,79780.0,81090.0,79680.0,17292.0,6950254100.0,52748.0,80380.0
85,CU2409.SHF,2024-05-09 15:14:10.000,daily,79720.0,79950.0,80340.0,79670.0,13734.0,5495884500.0,54736.0,80030.0
86,CU2409.SHF,2024-05-10 15:18:53.000,daily,80060.0,81230.0,81300.0,79930.0,19828.0,7980982950.0,58625.0,80500.0
87,CU2409.SHF,2024-05-13 15:17:00.000,daily,80940.0,81650.0,81770.0,80620.0,20652.0,8376211750.0,63345.0,81110.0
88,CU2409.SHF,2024-05-14 15:16:23.500,daily,81960.0,82780.0,82960.0,81890.0,24795.0,10213351600.0,67642.0,82380.0
89,CU2409.SHF,2024-05-15 16:01:06.000,daily,82780.0,82420.0,82850.0,81540.0,26584.0,10931422750.0,69424.0,82240.0
90,CU2409.SHF,2024-05-16 15:22:48.500,daily,82600.0,82920.0,83280.0,81700.0,40365.0,16665150750.0,71513.0,82570.0
91,CU2409.SHF,2024-05-17 15:16:31.000,daily,83030.0,84480.0,84710.0,82720.0,28378.0,11845945900.0,72924.0,83480.0
92,CU2409.SHF,2024-05-20 15:17:19.000,daily,84950.0,87990.0,89230.0,84660.0,56217.0,24494868350.0,76361.0,87140.0
93,CU2409.SHF,2024-05-21 15:19:22.000,daily,87400.0,87370.0,88870.0,86260.0,45530.0,19925968750.0,77841.0,87520.0
94,CU2409.SHF,2024-05-22 15:23:44.000,daily,87840.0,86570.0,88250.0,85950.0,43245.0,18810297250.0,79501.0,86990.0
