ymd,htsc_code,name,exchange
20240720,002215.SZ,诺普信,XSHE
20240720,002225.SZ,濮耐股份,XSHE
20240720,000969.SZ,安泰科技,XSHE
20240720,000931.SZ,中关村,XSHE
20240720,002110.SZ,三钢闽光,XSHE
20240720,002081.SZ,金螳螂,XSHE
20240720,002008.SZ,大族激光,XSHE
20240720,000926.SZ,福星股份,XSHE
20240720,000766.SZ,通化金马,XSHE
20240720,002236.SZ,大华股份,XSHE
20240720,000966.SZ,长源电力,XSHE
20240720,000990.SZ,诚志股份,XSHE
20240720,002158.SZ,汉钟精机,XSHE
20240720,000823.SZ,超声电子,XSHE
20240720,000862.SZ,银星能源,XSHE
20240720,000859.SZ,国风新材,XSHE
20240720,000935.SZ,四川双马,XSHE
20240720,002232.SZ,启明信息,XSHE
20240720,000903.SZ,云内动力,XSHE
20240720,002153.SZ,石基信息,XSHE
20240720,000959.SZ,首钢股份,XSHE
20240720,002090.SZ,金智科技,XSHE
20240720,002235.SZ,安妮股份,XSHE
20240720,002271.SZ,东方雨虹,XSHE
20240720,002191.SZ,劲嘉股份,XSHE
20240720,002001.SZ,新和成,XSHE
20240720,002242.SZ,九阳股份,XSHE
20240720,002229.SZ,鸿博股份,XSHE
20240720,300063.SZ,天龙集团,XSHE
20240720,002305.SZ,南国置业,XSHE
20240720,002028.SZ,思源电气,XSHE
20240720,002221.SZ,东华能源,XSHE
20240720,002386.SZ,天原股份,XSHE
20240720,002311.SZ,海大集团,XSHE
20240720,000952.SZ,广济药业,XSHE
20240720,002296.SZ,辉煌科技,XSHE
20240720,002363.SZ,隆基机械,XSHE
20240720,002365.SZ,永安药业,XSHE
20240720,002364.SZ,中恒电气,XSHE
20240720,002223.SZ,鱼跃医疗,XSHE
20240720,002149.SZ,西部材料,XSHE
20240720,002245.SZ,蔚蓝锂芯,XSHE
20240720,001896.SZ,豫能控股,XSHE
20240720,002284.SZ,亚太股份,XSHE
20240720,002395.SZ,双象股份,XSHE
20240720,300016.SZ,北陆药业,XSHE
20240720,002294.SZ,信立泰,XSHE
20240720,002327.SZ,富安娜,XSHE
20240720,000998.SZ,隆平高科,XSHE
20240720,002396.SZ,星网锐捷,XSHE
20240720,300065.SZ,海兰信,XSHE
20240720,002383.SZ,合众思壮,XSHE
20240720,300058.SZ,蓝色光标,XSHE
20240720,300055.SZ,万邦达,XSHE
20240720,002361.SZ,神剑股份,XSHE
20240720,002360.SZ,同德化工,XSHE
20240720,002362.SZ,汉王科技,XSHE
20240720,002273.SZ,水晶光电,XSHE
20240720,002269.SZ,美邦服饰,XSHE
20240720,300006.SZ,莱美药业,XSHE
20240720,002302.SZ,西部建设,XSHE
20240720,002303.SZ,美盈森,XSHE
20240720,002281.SZ,光迅科技,XSHE
20240720,002320.SZ,海峡股份,XSHE
20240720,002093.SZ,国脉科技,XSHE
20240720,002231.SZ,奥维通信,XSHE
20240720,002209.SZ,达意隆,XSHE
20240720,000895.SZ,双汇发展,XSHE
20240720,002198.SZ,嘉应制药,XSHE
20240720,002261.SZ,拓维信息,XSHE
20240720,000786.SZ,北新建材,XSHE
20240720,000977.SZ,浪潮信息,XSHE
20240720,002167.SZ,东方锆业,XSHE
20240720,002170.SZ,芭田股份,XSHE
20240720,000963.SZ,华东医药,XSHE
20240720,002332.SZ,仙琚制药,XSHE
20240720,002295.SZ,精艺股份,XSHE
20240720,002297.SZ,博云新材,XSHE
20240720,300001.SZ,特锐德,XSHE
20240720,300002.SZ,神州泰岳,XSHE
20240720,300003.SZ,乐普医疗,XSHE
20240720,300004.SZ,南风股份,XSHE
20240720,002262.SZ,恩华药业,XSHE
20240720,002252.SZ,上海莱士,XSHE
20240720,300015.SZ,爱尔眼科,XSHE
20240720,300014.SZ,亿纬锂能,XSHE
20240720,300011.SZ,鼎汉技术,XSHE
20240720,002345.SZ,潮宏基,XSHE
20240720,002348.SZ,高乐股份,XSHE
20240720,002351.SZ,漫步者,XSHE
20240720,002130.SZ,沃尔核材,XSHE
20240720,002169.SZ,智光电气,XSHE
20240720,002065.SZ,东华软件,XSHE
20240720,002133.SZ,广宇集团,XSHE
20240720,000807.SZ,云铝股份,XSHE
20240720,002041.SZ,登海种业,XSHE
20240720,000880.SZ,潍柴重机,XSHE
20240720,000777.SZ,中核科技,XSHE
20240720,002353.SZ,杰瑞股份,XSHE
20240720,002185.SZ,华天科技,XSHE
20240720,300042.SZ,朗科科技,XSHE
20240720,002338.SZ,奥普光电,XSHE
20240720,300037.SZ,新宙邦,XSHE
20240720,002318.SZ,久立特材,XSHE
20240720,002317.SZ,众生药业,XSHE
20240720,300072.SZ,海新能科,XSHE
20240720,300073.SZ,当升科技,XSHE
20240720,300075.SZ,数字政通,XSHE
20240720,300074.SZ,华平股份,XSHE
20240720,002216.SZ,三全食品,XSHE
20240720,002043.SZ,兔宝宝,XSHE
20240720,002068.SZ,黑猫股份,XSHE
20240720,002048.SZ,宁波华翔,XSHE
20240720,000948.SZ,南天信息,XSHE
20240720,002059.SZ,云南旅游,XSHE
20240720,002324.SZ,普利特,XSHE
20240720,002094.SZ,青岛金王,XSHE
20240720,000762.SZ,西藏矿业,XSHE
20240720,002079.SZ,苏州固锝,XSHE
20240720,002083.SZ,孚日股份,XSHE
20240720,002258.SZ,利尔化学,XSHE
20240720,002291.SZ,遥望科技,XSHE
20240720,002357.SZ,富临运业,XSHE
20240720,300005.SZ,探路者,XSHE
20240720,002384.SZ,东山精密,XSHE
20240720,002367.SZ,康力电梯,XSHE
20240720,002368.SZ,太极股份,XSHE
20240720,000830.SZ,鲁西化工,XSHE
20240720,002237.SZ,恒邦股份,XSHE
20240720,002119.SZ,康强电子,XSHE
20240720,002078.SZ,太阳纸业,XSHE
20240720,002085.SZ,万丰奥威,XSHE
20240720,002279.SZ,久其软件,XSHE
20240720,002307.SZ,北新路桥,XSHE
20240720,002020.SZ,京新药业,XSHE
20240720,002331.SZ,皖通科技,XSHE
20240720,002330.SZ,得利斯,XSHE
20240720,300039.SZ,上海凯宝,XSHE
20240720,000970.SZ,中科三环,XSHE
20240720,002381.SZ,双箭股份,XSHE
20240720,002374.SZ,中锐股份,XSHE
20240720,002372.SZ,伟星新材,XSHE
20240720,300071.SZ,福石控股,XSHE
20240720,300070.SZ,碧水源,XSHE
20240720,300069.SZ,金利华电,XSHE
20240720,300068.SZ,南都电源,XSHE
20240720,300067.SZ,安诺其,XSHE
20240720,002029.SZ,七匹狼,XSHE
20240720,002203.SZ,海亮股份,XSHE
20240720,002040.SZ,南京港,XSHE
20240720,002278.SZ,神开股份,XSHE
20240720,300009.SZ,安科生物,XSHE
